,Pix_a_a,Pix_a_o,Pix_b_a,Pix_b_o,Sn_active_and,Sn_active_or,Sn_blob_and,Sn_blob_or,Sn_unfiltered,St_active_and,St_active_or,St_blob_and,St_blob_or,St_unfiltered,Pix_a_a_si,Pix_a_o_si,Pix_b_a_si,Pix_b_o_si,Sn_active_and_pa,Sn_active_or_pa,Sn_blob_and_pa,Sn_blob_or_pa,St_active_and_pa,St_active_or_pa,St_blob_and_pa,St_blob_or_pa,harp_area_si,LL,area,hale,longitude,mcintosh1,mcintosh2,mcintosh3,hale_enc,area_si
2012-09-29,26901.803418803418,34780.60683760684,309152.88888888893,311720.62393162394,4.839854363828097e+19,5.55429243571863e+19,1.1391804690898936e+20,1.139610533691152e+20,1.1387486862338848e+20,5.732718633633947e+19,6.233938240182519e+19,1.1187706322490184e+20,1.1206621580089083e+20,1.3369717094246316e+20,3567573325680055.0,4612418107184676.0,4.099820308648987e+16,4.1338722378199224e+16,13566.236547935614,12042.04021978583,2778.6107276132975,2756.7628318676525,16068.958113260838,13515.553220277305,2728.8284559419794,2710.9259636913966,1.7629460434280707e+17,6,100,Alpha,60,H,s,x,0,3.0437e+17
2012-09-30,29548.2,36751.8,292247.2,295478.4,4.458862460387677e+19,5.164709510614087e+19,1.3512491377222704e+20,1.3524112693410208e+20,1.3840035313581603e+20,6.694051722898553e+19,5.870197430503329e+19,6.2360410705203085e+19,6.246555584040883e+19,9.36124058662953e+19,3918524290017588.5,4873827204427628.0,3.875626102062489e+16,3.918476548742506e+16,11378.932808319183,10596.825234021853,3486.531213635849,3451.370073338907,17083.09360223082,12044.328172263778,1609.0409410757347,1594.1286125715085,1.7629460434280707e+17,2,100,Alpha,73,H,s,x,0,3.0437e+17
2013-06-21,7790.878260869566,9342.37391304348,60220.40869565218,60717.70434782608,8.227851324240563e+19,8.817961968850166e+19,1.3545672099684922e+20,1.354718342124425e+20,1.379819680910572e+20,1.0097790743898123e+20,1.002754566316364e+20,6.945684438742421e+19,6.958451146004779e+19,6.400321429512389e+19,1033184617194528.9,1238935674751340.0,7986108603187317.0,8052057293542857.0,79635.82875035601,71173.68680678253,16961.542564395808,16824.499537662345,97734.62143984769,80936.77393845498,8697.20759365875,8641.830146421005,6.520609442553145e+16,3,70,Alpha,-66,H,s,x,0,2.13059e+17
2013-06-22,10254.275,12618.333333333336,84858.93333333332,85481.76666666666,7.277008628702648e+19,7.858492033573688e+19,1.2963989303064809e+20,1.296397506192692e+20,1.3067541014319666e+20,1.0024403180139536e+20,9.401931951523162e+19,4.078807324691893e+19,4.098212609081905e+19,3.158797976033013e+19,1359867120975900.5,1673375896542100.0,1.1253537998647966e+16,1.1336134825029922e+16,53512.64484930223,46961.90527073233,11519.923160718292,11435.974661577564,73716.04935153946,56185.41518944737,3624.466656781123,3615.1763121528397,6.520609442553145e+16,3,130,Beta,-56,C,a,o,1,3.95681e+17
2013-06-23,12114.883333333333,15507.725,116032.75,116749.50833333332,6.293361540578359e+19,7.148240630647664e+19,1.5255371379436192e+20,1.5254951636272405e+20,1.526484303139288e+20,1.0334769480222894e+20,9.325819957751508e+19,1.2997879691217666e+19,1.305376970189022e+19,-5.24066359511444e+18,1606611049485109.8,2056551569821952.2,1.5387642878839942e+16,1.5482695536505692e+16,39171.65603084374,34758.382602905156,9914.040441121986,9852.904231245584,64326.518129792545,45346.88113149966,844.6959546410764,843.1199639049636,6.520609442553145e+16,3,200,Beta,-42,C,s,o,1,6.0874e+17
2013-06-24,13429.433333333332,17112.525,142039.13333333333,142732.31666666668,5.6439786612060815e+19,6.229130650412193e+19,1.6013522579359367e+20,1.601254317327114e+20,1.605735203134451e+20,1.0752460295882211e+20,1.0192194007509064e+20,6.113401112676535e+18,6.10013432311938e+18,-4.643066630206836e+18,1780939641597069.8,2269371564969549.5,1.8836470380588788e+16,1.892839664780987e+16,31691.01596360001,27448.7031853498,8501.339293300669,8459.534883597173,60375.20893318916,44911.966664418054,324.55130866642986,322.27422304282715,6.520609442553145e+16,3,170,Alpha,-29,H,s,x,0,5.17429e+17
2013-06-25,13974.375,18068.58333333333,168205.41666666663,169048.5,6.196504235773656e+19,6.753600208924825e+19,1.4332679433520647e+20,1.4333618180531084e+20,1.4428583043392576e+20,1.2934989806879906e+20,1.2231112231202516e+20,3.6820544452190523e+19,3.677924221753434e+19,3.079877951990791e+19,1853206891631792.8,2396158909100169.0,2.2306502965353644e+16,2.2418308169060664e+16,33436.65655331924,28185.109857597086,6425.336797875533,6393.710922536429,69797.8723546098,51044.66229159932,1650.6641363453527,1640.5895547592254,6.520609442553145e+16,2,170,Alpha,-16,H,s,x,0,5.17429e+17
2013-06-26,13110.583333333336,17226.708333333332,170145.35833333337,171100.475,6.0316598589755965e+19,6.488500432725189e+19,1.3927163430542646e+20,1.392737285434513e+20,1.3930859757418824e+20,1.4852004674502935e+20,1.4589479139355065e+20,8.141986347515748e+19,8.14251318354266e+19,7.865523811558746e+19,1738655459485398.0,2284513948098871.5,2.256376765633485e+16,2.2690430121667216e+16,34691.51881742475,28402.104693319092,6172.3572244959505,6137.994202695085,85422.35664620284,63862.508484555976,3608.433871295364,3588.5230645175516,6.520609442553145e+16,2,150,Alpha,-3,H,s,x,0,4.56555e+17
2013-06-27,12186.5,16007.8,144414.16666666663,145311.25,4.863222130746733e+19,5.200683665081843e+19,1.1571191046407876e+20,1.157074170271468e+20,1.1467286181902488e+20,1.1257678849265988e+20,1.1337501612696129e+20,7.047299852361268e+19,7.049933951379729e+19,7.406386905956943e+19,1616108468884715.2,2122868842425039.5,1.9151434601971748e+16,1.9270400996941212e+16,30092.176511536185,24498.37484609219,6041.94478737199,6004.41148295321,69659.1786133945,53406.510030760255,3679.7764756671068,3658.4261803886507,6.520609442553145e+16,2,130,Alpha,11,H,s,x,0,3.95681e+17
2013-06-28,10689.741666666667,13786.891666666665,119134.775,119768.3,4.090561381374466e+19,4.403139945779594e+19,9.525573563353378e+19,9.52523540474606e+19,9.459264693749396e+19,8.260306473878862e+19,8.393392172528629e+19,6.667820266014635e+19,6.6699857037731684e+19,6.670236334409869e+19,1417616381872548.5,1828343854436967.5,1.5799016847837774e+16,1.588303154588481e+16,28855.206765960113,24082.668777506988,6029.219194520342,5997.114201547995,58268.98291742166,45907.07679061467,4220.402022627871,4199.441198932403,6.520609442553145e+16,2,130,Alpha,23,H,s,x,0,3.95681e+17
